player_id,player_name,position,has_beard,has_mustache,is_redhead
00-0034468,00-0034468,Unknown,True,True,False
00-0034473,00-0034473,Unknown,True,True,False
00-0035710,00-0035710,Unknown,False,False,False
00-0035993,00-0035993,Unknown,True,True,False
00-0036212,00-0036212,Unknown,True,True,False
00-0036264,00-0036264,Unknown,True,True,False
00-0036355,00-0036355,Unknown,True,True,False
00-0036389,00-0036389,Unknown,True,True,False
00-0036442,00-0036442,Unknown,False,False,False
00-0036945,00-0036945,Unknown,True,True,False
00-0036971,00-0036971,Unknown,False,False,False
00-0036972,00-0036972,Unknown,False,False,False
00-0037012,00-0037012,Unknown,True,True,False
00-0037013,00-0037013,Unknown,False,False,False
00-0037077,00-0037077,Unknown,True,True,False
00-0037834,00-0037834,Unknown,False,False,False
00-0038102,00-0038102,Unknown,True,True,False
00-0038108,00-0038108,Unknown,False,False,False
00-0038122,00-0038122,Unknown,False,False,False
00-0038128,00-0038128,Unknown,True,True,False
00-0038400,00-0038400,Unknown,False,False,False
00-0038416,00-0038416,Unknown,False,False,False
00-0038476,00-0038476,Unknown,False,False,False
00-0038579,00-0038579,Unknown,False,True,False
00-0038583,00-0038583,Unknown,False,True,False
00-0039150,00-0039150,Unknown,True,True,False
00-0039152,00-0039152,Unknown,True,True,False
00-0039163,00-0039163,Unknown,True,True,False
00-0039164,00-0039164,Unknown,True,True,False
00-0039376,00-0039376,Unknown,True,True,False
00-0039732,00-0039732,Unknown,False,False,False
00-0039851,00-0039851,Unknown,True,False,False
00-0039910,00-0039910,Unknown,True,True,False
00-0039917,00-0039917,Unknown,False,False,False
00-0039918,00-0039918,Unknown,True,True,False
00-0032265,00-0032265,Unknown,True,True,False
00-0033549,00-0033549,Unknown,True,True,False
00-0033551,00-0033551,Unknown,True,True,False
00-0033563,00-0033563,Unknown,True,True,False
00-0033571,00-0033571,Unknown,True,True,False
00-0033579,00-0033579,Unknown,True,True,False
00-0033582,00-0033582,Unknown,True,True,False
00-0033595,00-0033595,Unknown,True,True,False
00-0033716,00-0033716,Unknown,True,False,False
00-0033746,00-0033746,Unknown,True,True,False
00-0033765,00-0033765,Unknown,True,True,False
00-0033782,00-0033782,Unknown,True,True,False
00-0033783,00-0033783,Unknown,True,True,False
00-0033860,00-0033860,Unknown,True,True,False
00-0033874,00-0033874,Unknown,True,True,False
00-0033877,00-0033877,Unknown,True,True,False
00-0033883,00-0033883,Unknown,True,True,False
00-0033886,00-0033886,Unknown,True,True,False
00-0033890,00-0033890,Unknown,True,True,False
00-0033914,00-0033914,Unknown,False,False,False
00-0033927,00-0033927,Unknown,True,True,False
00-0033929,00-0033929,Unknown,True,True,False
00-0033945,00-0033945,Unknown,True,True,False
00-0033964,00-0033964,Unknown,True,True,False
00-0034485,00-0034485,Unknown,True,True,False
00-0034488,00-0034488,Unknown,True,True,False
00-0034490,00-0034490,Unknown,True,True,False
00-0034496,00-0034496,Unknown,True,True,False
00-0034500,00-0034500,Unknown,True,True,False
00-0034514,00-0034514,Unknown,True,True,False
00-0034515,00-0034515,Unknown,True,True,False
00-0034516,00-0034516,Unknown,True,True,False
00-0034527,00-0034527,Unknown,True,True,False
00-0034545,00-0034545,Unknown,True,True,False
00-0034573,00-0034573,Unknown,True,True,False
00-0034577,00-0034577,Unknown,True,True,False
00-0034587,00-0034587,Unknown,True,True,False
00-0034612,00-0034612,Unknown,True,True,False
00-0034623,00-0034623,Unknown,True,True,False
00-0034639,00-0034639,Unknown,True,True,False
00-0034657,00-0034657,Unknown,True,True,False
00-0034673,00-0034673,Unknown,False,False,False
00-0034675,00-0034675,Unknown,True,True,False
00-0034677,00-0034677,Unknown,True,True,False
00-0034720,00-0034720,Unknown,True,True,False
00-0034723,00-0034723,Unknown,True,True,False
00-0034728,00-0034728,Unknown,True,True,False
00-0034754,00-0034754,Unknown,True,True,False
00-0034756,00-0034756,Unknown,True,True,False
00-0034760,00-0034760,Unknown,True,True,False
00-0034773,00-0034773,Unknown,True,True,False
00-0034778,00-0034778,Unknown,True,True,False
00-0034779,00-0034779,Unknown,True,True,False
00-0034780,00-0034780,Unknown,True,True,False
00-0034782,00-0034782,Unknown,True,True,False
00-0034787,00-0034787,Unknown,True,True,False
00-0034789,00-0034789,Unknown,True,True,False
00-0034790,00-0034790,Unknown,True,True,False
00-0034797,00-0034797,Unknown,True,True,False
00-0034800,00-0034800,Unknown,True,True,False
00-0034801,00-0034801,Unknown,True,True,False
00-0034805,00-0034805,Unknown,True,True,False
00-0034807,00-0034807,Unknown,True,True,False
00-0034810,00-0034810,Unknown,True,True,False
00-0034815,00-0034815,Unknown,True,True,False
00-0034818,00-0034818,Unknown,True,True,False
00-0034825,00-0034825,Unknown,True,True,False
00-0034828,00-0034828,Unknown,True,True,False
00-0034831,00-0034831,Unknown,True,True,False
00-0034834,00-0034834,Unknown,True,True,False
00-0034835,00-0034835,Unknown,True,True,False
00-0034842,00-0034842,Unknown,True,True,False
00-0034843,00-0034843,Unknown,True,True,False
00-0034846,00-0034846,Unknown,True,True,False
00-0034856,00-0034856,Unknown,True,True,False
00-0034858,00-0034858,Unknown,False,False,False
00-0034874,00-0034874,Unknown,True,True,False
00-0034902,00-0034902,Unknown,True,True,False
00-0034954,00-0034954,Unknown,True,True,False
